paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,fieldsOfStudy/1,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/2,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,authors/23/authorId,authors/23/name,authors/24/authorId,authors/24/name,fieldsOfStudy/3
d67019e2c610e5b1b0e3661bc1ccc5e0e93d2476,https://www.semanticscholar.org/paper/d67019e2c610e5b1b0e3661bc1ccc5e0e93d2476,Learning in Humans and Machines,"Discusses the analysis, comparison and integration of computational approaches to learning and research on human learning. This book aims to provide the reader with an overview of the prolific research on learning throughout the disciplines. It also highlights the important research issues and methodologies.",1995,0,95,0,false,Psychology,20779579,P. Reimann,2926339,H. Spada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9aee764d4c7d9d1361a3629be6a317c0e8c73d99,https://www.semanticscholar.org/paper/9aee764d4c7d9d1361a3629be6a317c0e8c73d99,Managing Diversity in Regression Ensembles,"Ensembles are a widely used and effective technique in machine learning---their success is commonly attributed to the degree of disagreement, or 'diversity', within the ensemble. For ensembles where the individual estimators output crisp class labels, this 'diversity' is not well understood and remains an open research issue. For ensembles of regression estimators, the diversity can be exactly formulated in terms of the covariance between individual estimator outputs, and the optimum level is expressed in terms of a bias-variance-covariance trade-off. Despite this, most approaches to learning ensembles use heuristics to encourage the right degree of diversity. In this work we show how to explicitly control diversity through the error function. The first contribution of this paper is to show that by taking the combination mechanism for the ensemble into account we can derive an error function for each individual that balances ensemble diversity with individual accuracy. We show the relationship between this error function and an existing algorithm called negative correlation learning, which uses a heuristic penalty term added to the mean squared error function. It is demonstrated that these methods control the bias-variance-covariance trade-off systematically, and can be utilised with any estimator capable of minimising a quadratic error function, for example MLPs, or RBF networks. As a second contribution, we derive a strict upper bound on the coefficient of the penalty term, which holds for any estimator that can be cast in a generalised linear regression framework, with mild assumptions on the basis functions. Finally we present the results of an empirical study, showing significant improvements over simple ensemble learning, and finding that this technique is competitive with a variety of methods, including boosting, bagging, mixtures of experts, and Gaussian processes, on a number of tasks.",2005,28,341,32,false,Mathematics,145485821,Gavin Brown,1688492,J. Wyatt,Computer Science,4023505,P. Tiňo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31240cf20c338535aeb490c6b0eb55fc1fbab2af,https://www.semanticscholar.org/paper/31240cf20c338535aeb490c6b0eb55fc1fbab2af,Machine Learning in Mental Health,"High prevalence of mental illness and the need for effective mental health care, combined with recent advances in AI, has led to an increase in explorations of how the field of machine learning (ML) can assist in the detection, diagnosis and treatment of mental health problems. ML techniques can potentially offer new routes for learning patterns of human behavior; identifying mental health symptoms and risk factors; developing predictions about disease progression; and personalizing and optimizing therapies. Despite the potential opportunities for using ML within mental health, this is an emerging research area, and the development of effective ML-enabled applications that are implementable in practice is bound up with an array of complex, interwoven challenges. Aiming to guide future research and identify new directions for advancing development in this important domain, this article presents an introduction to, and a systematic review of, current ML work regarding psycho-socially based mental health conditions from the computing and HCI literature. A quantitative synthesis and qualitative narrative review of 54 papers that were included in the analysis surfaced common trends, gaps, and challenges in this space. Discussing our findings, we (i) reflect on the current state-of-the-art of ML work for mental health, (ii) provide concrete suggestions for a stronger integration of human-centered and multi-disciplinary approaches in research and development, and (iii) invite more consideration of the potentially far-reaching personal, social, and ethical implications that ML models and interventions can have, if they are to find widespread, successful adoption in real-world mental health contexts.",2020,280,77,1,true,Computer Science,1944467,Anja Thieme,145763736,D. Belgrave,Psychology,2659843,Gavin Doherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590fbc7b3b06416b72e23ef02e96ba5831977a3c,https://www.semanticscholar.org/paper/590fbc7b3b06416b72e23ef02e96ba5831977a3c,Cross-disciplinary perspectives on meta-learning for algorithm selection,"The algorithm selection problem [Rice 1976] seeks to answer the question: Which algorithm is likely to perform best for my problem? Recognizing the problem as a learning task in the early 1990's, the machine learning community has developed the field of meta-learning, focused on learning about learning algorithm performance on classification problems. But there has been only limited generalization of these ideas beyond classification, and many related attempts have been made in other disciplines (such as AI and operations research) to tackle the algorithm selection problem in different ways, introducing different terminology, and overlooking the similarities of approaches. In this sense, there is much to be gained from a greater awareness of developments in meta-learning, and how these ideas can be generalized to learn about the behaviors of other (nonlearning) algorithms. In this article we present a unified framework for considering the algorithm selection problem as a learning problem, and use this framework to tie together the crossdisciplinary developments in tackling the algorithm selection problem. We discuss the generalization of meta-learning concepts to algorithms focused on tasks including sorting, forecasting, constraint satisfaction, and optimization, and the extension of these ideas to bioinformatics, cryptography, and other fields.",2009,119,502,27,false,Computer Science,1398371449,K. Smith‐Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12244deb997152492d96c6246ec21b2b9804800d,https://www.semanticscholar.org/paper/12244deb997152492d96c6246ec21b2b9804800d,Text Detection and Character Recognition in Scene Images with Unsupervised Feature Learning,"Reading text from photographs is a challenging problem that has received a significant amount of attention. Two key components of most systems are (i) text detection from images and (ii) character recognition, and many recent methods have been proposed to design better feature representations and models for both. In this paper, we apply methods recently developed in machine learning -- specifically, large-scale algorithms for learning the features automatically from unlabeled data -- and show that they allow us to construct highly effective classifiers for both detection and recognition to be used in a high accuracy end-to-end system.",2011,28,407,24,true,Computer Science,144638694,Adam Coates,37742741,Blake Carpenter,,2065131508,Carl Case,145031342,S. Satheesh,39086009,B. Suresh,41154933,Tao Wang,25629078,David J. Wu,34699434,A. Ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ce39a77a7347ca7fedce513dec361e7cb9fed02,https://www.semanticscholar.org/paper/4ce39a77a7347ca7fedce513dec361e7cb9fed02,Machine Learning of Inductive Bias,,1986,0,77,2,true,Computer Science,2195972,P. Utgoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9fee459ed211f53bfadef22e3ab774d0e927358,https://www.semanticscholar.org/paper/a9fee459ed211f53bfadef22e3ab774d0e927358,Computing Semantic Relatedness Using Wikipedia-based Explicit Semantic Analysis,"Computing semantic relatedness of natural language texts requires access to vast amounts of common-sense and domain-specific world knowledge. We propose Explicit Semantic Analysis (ESA), a novel method that represents the meaning of texts in a high-dimensional space of concepts derived from Wikipedia. We use machine learning techniques to explicitly represent the meaning of any text as a weighted vector of Wikipedia-based concepts. Assessing the relatedness of texts in this space amounts to comparing the corresponding vectors using conventional metrics (e.g., cosine). Compared with the previous state of the art, using ESA results in substantial improvements in correlation of computed relatedness scores with human judgments: from r = 0.56 to 0.75 for individual words and from r = 0.60 to 0.72 for texts. Importantly, due to the use of natural concepts, the ESA model is easy to explain to human users.",2007,48,2353,377,false,Computer Science,1718798,E. Gabrilovich,2309269,Shaul Markovitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb56bc6676fb88d67a071fd482a349286e20b16d,https://www.semanticscholar.org/paper/bb56bc6676fb88d67a071fd482a349286e20b16d,A Survey of ReRAM-Based Architectures for Processing-In-Memory and Neural Networks,"As data movement operations and power-budget become key bottlenecks in the design of computing systems, the interest in unconventional approaches such as processing-in-memory (PIM), machine learning (ML), and especially neural network (NN)-based accelerators has grown significantly. Resistive random access memory (ReRAM) is a promising technology for efficiently architecting PIM- and NN-based accelerators due to its capabilities to work as both: High-density/low-energy storage and in-memory computation/search engine. In this paper, we present a survey of techniques for designing ReRAM-based PIM and NN architectures. By classifying the techniques based on key parameters, we underscore their similarities and differences. This paper will be valuable for computer architects, chip designers and researchers in the area of machine learning.",2018,40,90,4,true,Computer Science,38918006,Sparsh Mittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25d53b9e68cc5f9bb1c01287cfe05ed64cf38432,https://www.semanticscholar.org/paper/25d53b9e68cc5f9bb1c01287cfe05ed64cf38432,Regularized extreme learning machine for regression problems,,2011,19,157,11,false,Computer Science,1398184868,J. Martínez-Martínez,1398184857,Pablo Escandell-Montero,,83227156,E. Soria-Olivas,84306443,J. Martín-Guerrero,35119570,J. Benedito,1396035413,J. Gómez-Sanchís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1a46d9a0972fb0ec0977d24a191f612e7401369,https://www.semanticscholar.org/paper/c1a46d9a0972fb0ec0977d24a191f612e7401369,Distributed Learning with Regularized Least Squares,"We study distributed learning with the least squares regularization scheme in a reproducing kernel Hilbert space (RKHS). By a divide-and-conquer approach, the algorithm partitions a data set into disjoint data subsets, applies the least squares regularization scheme to each data subset to produce an output function, and then takes an average of the individual output functions as a final global estimator or predictor. We show with error bounds in expectation in both the $L^2$-metric and RKHS-metric that the global output function of this distributed learning is a good approximation to the algorithm processing the whole data in one single machine. Our error bounds are sharp and stated in a general setting without any eigenfunction assumption. The analysis is achieved by a novel second order decomposition of operator differences in our integral operator approach. Even for the classical least squares regularization scheme in the RKHS associated with a general kernel, we give the best learning rate in the literature.",2016,46,140,31,false,Mathematics,2432506,Shaobo Lin,2116513495,Xin Guo,Computer Science,1758237,Ding-Xuan Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
