paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,fieldsOfStudy/3
5ef22b9f1c51d45434176e84b3f61959fddd5bd3,https://www.semanticscholar.org/paper/5ef22b9f1c51d45434176e84b3f61959fddd5bd3,Machine Learning Models and Algorithms for Big Data Classification: Thinking with Examples for Effective Learning,"This book presents machine learning models and algorithms to address big data classification problems. Existing machine learning techniques like the decision tree (a hierarchical approach), random forest (an ensemble hierarchical approach), and deep learning (a layered approach) are highly suitable for the system that can handle such problems. This book helps readers, especially students and newcomers to the field of big data and machine learning, to gain a quick understanding of the techniques and technologies; therefore, the theory, examples, and programs (Matlab and R) presented in this book have been simplified, hardcoded, repeated, or spaced for improvements. They provide vehicles to test and understand the complicated concepts of various topics in the field. It is expected that the readers adopt these programs to experiment with the examples, and then modify or write their own programs toward advancing their knowledge for solving more complex and challenging problems. The presentation format of this book focuses on simplicity, readability, and dependability so that both undergraduate and graduate students as well as new researchers, developers, and practitioners in this field can easily trust and grasp the concepts, and learn them effectively. It has been written to reduce the mathematical complexity and help the vast majority of readers to understand the topics and get interested in the field. This book consists of four parts, with the total of 14 chapters. The first part mainly focuses on the topics that are needed to help analyze and understand data and big data. The second part covers the topics that can explain the systems required for processing big data. The third part presents the topics required to understand and select machine learning techniques to classify big data. Finally, the fourth part concentrates on the topics that explain the scaling-up machine learning, an important solution for modern big data problems.",2015,0,67,2,False,Computer Science,3339259.0,S. Suthaharan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaf52f290fa8c7d725ec4b2e7ad3af40e559d0f9,https://www.semanticscholar.org/paper/eaf52f290fa8c7d725ec4b2e7ad3af40e559d0f9,Short-Term Wind Speed Forecasting via Stacked Extreme Learning Machine With Generalized Correntropy,"Recently, wind speed forecasting as an effective computing technique plays an important role in advancing industry informatics, while dealing with these issues of control and operation for renewable power systems. However, it is facing some increasing difficulties to handle the large-scale dataset generated in these forecasting applications, with the purpose of ensuring stable computing performance. In response to such limitation, this paper proposes a more practical approach through the combination of extreme-learning machine (ELM) method and deep-learning model. ELM is a novel computing paradigm that enables the neural network (NN) based learning to be achieved with fast training speed and good generalization performance. The stacked ELM (SELM) is an advanced ELM algorithm under deep-learning framework, which works efficiently on memory consumption decrease. In this paper, an enhanced SELM is accordingly developed via replacing the Euclidean norm of the mean square error (MSE) criterion in ELM with the generalized correntropy criterion to further improve the forecasting performance. The advantage of the enhanced SELM with generalized correntropy to achieve better forecasting performance mainly relies on the following aspect. Generalized correntropy is a stable and robust nonlinear similarity measure while employing machine learning method to forecast wind speed, where the outliers may exist in some industrially measured values. Specifically, the experimental results of short-term and ultra-short-term forecasting on real wind speed data show that the proposed approach can achieve better computing performance compared with other traditional and more recent methods.",2018,24,141,5,True,Computer Science,144118283.0,Xiong Luo,2152147795.0,Jiankun Sun,102520410.0,Long Wang,38485868.0,Weiping Wang,144101027.0,Wenbing Zhao,2109246526.0,Jinsong Wu,2110221223.0,Jenq-Haur Wang,47294059.0,Zijun Zhang,,,,,,,,,,,,,,,,,,,,,,,,,
b13e9d23983273c0c67b91ae70c55d4c3f745b8b,https://www.semanticscholar.org/paper/b13e9d23983273c0c67b91ae70c55d4c3f745b8b,Learning to Translate in Real-time with Neural Machine Translation,"Translating in real-time, a.k.a.simultaneous translation, outputs translation words before the input sentence ends, which is a challenging problem for conventional machine translation methods. We propose a neural machine translation (NMT) framework for simultaneous translation in which an agent learns to make decisions on when to translate from the interaction with a pre-trained NMT environment. To trade off quality and delay, we extensively explore various targets for delay and design a method for beam-search applicable in the simultaneous MT setting. Experiments against state-of-the-art baselines on two language pairs demonstrate the efficacy of the proposed framework both quantitatively and qualitatively.",2016,25,146,37,True,Computer Science,1700325.0,Graham Neubig,1979489.0,Kyunghyun Cho,3016273.0,Jiatao Gu,2052674293.0,V. Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9d119346b0773ea83251598fa5305bc75bac8ab,https://www.semanticscholar.org/paper/f9d119346b0773ea83251598fa5305bc75bac8ab,Spectral–Spatial Classification of Hyperspectral Data Based on Deep Belief Network,"Hyperspectral data classification is a hot topic in remote sensing community. In recent years, significant effort has been focused on this issue. However, most of the methods extract the features of original data in a shallow manner. In this paper, we introduce a deep learning approach into hyperspectral image classification. A new feature extraction (FE) and image classification framework are proposed for hyperspectral data analysis based on deep belief network (DBN). First, we verify the eligibility of restricted Boltzmann machine (RBM) and DBN by the following spectral information-based classification. Then, we propose a novel deep architecture, which combines the spectral-spatial FE and classification together to get high classification accuracy. The framework is a hybrid of principal component analysis (PCA), hierarchical learning-based FE, and logistic regression (LR). Experimental results with hyperspectral data indicate that the classifier provide competitive solution with the state-of-the-art methods. In addition, this paper reveals that deep learning system has huge potential for hyperspectral data classification.",2015,55,801,48,False,Computer Science,2597809.0,Yushi Chen,2143711163.0,Xing Zhao,144787387.0,X. Jia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66e70d7d6af0c51b9b907d9c4a8de0dfca70b1a7,https://www.semanticscholar.org/paper/66e70d7d6af0c51b9b907d9c4a8de0dfca70b1a7,Will machine learning end the viability of radiology as a thriving medical specialty?,"There have been tremendous advances in artificial intelligence (AI) and machine learning (ML) within the past decade, especially in the application of deep learning to various challenges. These include advanced competitive games (such as Chess and Go), self-driving cars, speech recognition, and intelligent personal assistants. Rapid advances in computer vision for recognition of objects in pictures have led some individuals, including computer science experts and health care system experts in machine learning, to make predictions that ML algorithms will soon lead to the replacement of the radiologist. However, there are complex technological, regulatory, and medicolegal obstacles facing the implementation of machine learning in radiology that will definitely preclude replacement of the radiologist by these algorithms within the next two decades and beyond. While not a comprehensive review of machine learning, this article is intended to highlight specific features of machine learning which face significant technological and health care systems challenges. Rather than replacing radiologists, machine learning will provide quantitative tools that will increase the value of diagnostic imaging as a biomarker, increase image quality with decreased acquisition times, and improve workflow, communication, and patient safety. In the foreseeable future, we predict that today's generation of radiologists will be replaced not by ML algorithms, but by a new breed of data science-savvy radiologists who have embraced and harnessed the incredible potential that machine learning has to advance our ability to care for our patients. In this way, radiology will remain a viable medical specialty for years to come.",2019,112,46,2,True,Engineering,2107300376.0,Stephen Chan,1691257.0,E. Siegel,,,,,,,,,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,
55212c3934663fc825842e85980f74b4254eaeb0,https://www.semanticscholar.org/paper/55212c3934663fc825842e85980f74b4254eaeb0,A parallel genetic/neural network learning algorithm for MIMD shared memory machines,"A new algorithm is presented for training of multilayer feedforward neural networks by integrating a genetic algorithm with an adaptive conjugate gradient neural network learning algorithm. The parallel hybrid learning algorithm has been implemented in C on an MIMD shared memory machine (Cray Y-MP8/864 supercomputer). It has been applied to two different domains, engineering design and image recognition. The performance of the algorithm has been evaluated by applying it to three examples. The superior convergence property of the parallel hybrid neural network learning algorithm presented in this paper is demonstrated.",1994,19,151,6,False,Computer Science,2830443.0,S. Hung,1750050.0,H. Adeli,,,,,,,,,,,,,Medicine,,,,,,,,,,,,,,,,,,,,,,,,
c23c5edc98cde3a002bd7b588f089f8819e7c470,https://www.semanticscholar.org/paper/c23c5edc98cde3a002bd7b588f089f8819e7c470,Mortality risk score prediction in an elderly population using machine learning.,"Standard practice for prediction often relies on parametric regression methods. Interesting new methods from the machine learning literature have been introduced in epidemiologic studies, such as random forest and neural networks. However, a priori, an investigator will not know which algorithm to select and may wish to try several. Here I apply the super learner, an ensembling machine learning approach that combines multiple algorithms into a single algorithm and returns a prediction function with the best cross-validated mean squared error. Super learning is a generalization of stacking methods. I used super learning in the Study of Physical Performance and Age-Related Changes in Sonomans (SPPARCS) to predict death among 2,066 residents of Sonoma, California, aged 54 years or more during the period 1993-1999. The super learner for predicting death (risk score) improved upon all single algorithms in the collection of algorithms, although its performance was similar to that of several algorithms. Super learner outperformed the worst algorithm (neural networks) by 44% with respect to estimated cross-validated mean squared error and had an R2 value of 0.201. The improvement of super learner over random forest with respect to R2 was approximately 2-fold. Alternatives for risk score prediction include the super learner, which can provide improved performance.",2013,63,138,7,False,Medicine,2054921570.0,S. Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67b60c720e9691c0d98dbd0b9004e99e6da3fc47,https://www.semanticscholar.org/paper/67b60c720e9691c0d98dbd0b9004e99e6da3fc47,Efficient Vector Representation for Documents through Corruption,"We present an efficient document representation learning framework, Document Vector through Corruption (Doc2VecC). Doc2VecC represents each document as a simple average of word embeddings. It ensures a representation generated as such captures the semantic meanings of the document during learning. A corruption model is included, which introduces a data-dependent regularization that favors informative or rare words while forcing the embeddings of common and non-discriminative ones to be close to zero. Doc2VecC produces significantly better word embeddings than Word2Vec. We compare Doc2VecC with several state-of-the-art document representation learning algorithms. The simple model architecture introduced by Doc2VecC matches or out-performs the state-of-the-art in generating high-quality document representations for sentiment analysis, document classification as well as semantic relatedness tasks. The simplicity of the model enables training on billions of words per hour on a single machine. At the same time, the model is very efficient in generating representations of unseen documents at test time.",2017,37,106,22,False,Computer Science,1743082.0,Minmin Chen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d469fd8152689e71cecfe862f42e9a6e9952d372,https://www.semanticscholar.org/paper/d469fd8152689e71cecfe862f42e9a6e9952d372,Hardware Design of Smart Home Energy Management System With Dynamic Price Response,"The smart grid initiative and electricity market operation drive the development known as demand-side management or controllable load. Home energy management has received increasing interest due to the significant amount of loads in the residential sector. This paper presents a hardware design of smart home energy management system (SHEMS) with the applications of communication, sensing technology, and machine learning algorithm. With the proposed design, consumers can easily achieve a real-time, price-responsive control strategy for residential home loads such as electrical water heater (EWH), heating, ventilation, and air conditioning (HVAC), electrical vehicle (EV), dishwasher, washing machine, and dryer. Also, consumers may interact with suppliers or load serving entities (LSEs) to facilitate the load management at the supplier side. Further, SHEMS is designed with sensors to detect human activities and then a machine learning algorithm is applied to intelligently help consumers reduce total payment on electricity without or with little consumer involvement. Finally, simulation and experiment results are presented based on an actual SHEMS prototype to verify the hardware system.",2013,39,230,5,False,Engineering,3305560.0,Qinran Hu,33480933.0,Fangxing Li,,,,,,,,,,,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,
23c9f0d19fad7baf5f68f5ff7c15463f9648443b,https://www.semanticscholar.org/paper/23c9f0d19fad7baf5f68f5ff7c15463f9648443b,Joint Demosaicing and Denoising via Learned Nonparametric Random Fields,"We introduce a machine learning approach to demosaicing, the reconstruction of color images from incomplete color filter array samples. There are two challenges to overcome by a demosaicing method: 1) it needs to model and respect the statistics of natural images in order to reconstruct natural looking images and 2) it should be able to perform well in the presence of noise. To facilitate an objective assessment of current methods, we introduce a public ground truth data set of natural images suitable for research in image demosaicing and denoising. We then use this large data set to develop a machine learning approach to demosaicing. Our proposed method addresses both demosaicing challenges by learning a statistical model of images and noise from hundreds of natural images. The resulting model performs simultaneous demosaicing and denoising. We show that the machine learning approach has a number of benefits: 1) the model is trained to directly optimize a user-specified performance measure such as peak signal-to-noise ratio (PSNR) or structural similarity; 2) we can handle novel color filter array layouts by retraining the model on such layouts; and 3) it outperforms the previous state-of-the-art, in some setups by 0.7-dB PSNR, faithfully reconstructing edges, textures, and smooth areas. Our results demonstrate that in demosaicing and related imaging applications, discriminatively trained machine learning models have the potential for peak performance at comparatively low engineering effort.",2014,71,88,12,True,Mathematics,1783281.0,Daniel Khashabi,2388416.0,S. Nowozin,2137033.0,Jeremy Jancsary,47139824.0,A. Fitzgibbon,,,,,,,,,Computer Science,Medicine,,,,,,,,,,,,,,,,,,,,,,,
