paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,fieldsOfStudy/1,fieldsOfStudy/2,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,fieldsOfStudy/3,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name
93c56e3c2a95458273b2943d89db1280d066209a,https://www.semanticscholar.org/paper/93c56e3c2a95458273b2943d89db1280d066209a,Automatic Detection of Off-Task Behaviors in Intelligent Tutoring Systems with Machine Learning Techniques,"Identifying off-task behaviors in intelligent tutoring systems is a practical and challenging research topic. This paper proposes a machine learning model that can automatically detect students' off-task behaviors. The proposed model only utilizes the data available from the log files that record students' actions within the system. The model utilizes a set of time features, performance features, and mouse movement features, and is compared to 1) a model that only utilizes time features and 2) a model that uses time and performance features. Different students have different types of behaviors; therefore, personalized version of the proposed model is constructed and compared to the corresponding nonpersonalized version. In order to address data sparseness problem, a robust Ridge Regression algorithm is utilized to estimate model parameters. An extensive set of experiment results demonstrates the power of using multiple types of evidence, the personalized model, and the robust Ridge Regression algorithm.",2010,25,78,2,False,Computer Science,1778765,Suleyman Cetintas,145388187.0,Luo Si,2820030.0,Y. Xin,40374171.0,Casey Hord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1b53e3a977dffe016d88387e59e48d6dbdedcc6,https://www.semanticscholar.org/paper/d1b53e3a977dffe016d88387e59e48d6dbdedcc6,In-Memory Computation of a Machine-Learning Classifier in a Standard 6T SRAM Array,"This paper presents a machine-learning classifier where computations are performed in a standard 6T SRAM array, which stores the machine-learning model. Peripheral circuits implement mixed-signal weak classifiers via columns of the SRAM, and a training algorithm enables a strong classifier through boosting and also overcomes circuit nonidealities, by combining multiple columns. A prototype 128 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> 128 SRAM array, implemented in a 130-nm CMOS process, demonstrates ten-way classification of MNIST images (using image-pixel features downsampled from 28 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> 28 = 784 to 9 <inline-formula> <tex-math notation=""LaTeX"">$\times $ </tex-math></inline-formula> 9 = 81, which yields a baseline accuracy of 90%). In SRAM mode (bit-cell read/write), the prototype operates up to 300 MHz, and in classify mode, it operates at 50 MHz, generating a classification every cycle. With accuracy equivalent to a discrete SRAM/digital-MAC system, the system achieves ten-way classification at an energy of 630 pJ per decision, 113 times lower than a discrete system with standard training algorithm and 13 times lower than a discrete system with the proposed training algorithm.",2017,23,218,28,False,Computer Science,1519068895,Jintao Zhang,2108367712.0,Zhuo Wang,145020569.0,N. Verma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4af05d0b97513e19174b759c5039b115e7ff0d4c,https://www.semanticscholar.org/paper/4af05d0b97513e19174b759c5039b115e7ff0d4c,Bayesian Generative Active Deep Learning,"© 36th International Conference on Machine Learning, ICML 2019. All rights reserved. Deep learning models have demonstrated outstanding performance in several problems, but their training process tends to require immense amounts of computational and human resources for training and labeling, constraining the types of problems that can be tackled. Therefore, the design of effective training methods that require small labeled training sets is an important research direction that will allow a more effective use of resources. Among current approaches designed to address this issue, two are particularly interesting: data augmentation and active learning. Data augmentation achieves this goal by artificially generating new training points, while active learning relies on the selection of the ""most informative"" subset of unlabeled training samples to be labelled by an oracle. Although successful in practice, data augmentation can waste computational resources because it indiscriminately generates samples that are not guaranteed to be informative, and active learning selects a small subset of informative samples (from a large un-annotated set) that may be insufficient for the training process. In this paper, we propose a Bayesian generative active deep learning approach that combines active learning with data augmentation - we provide theoretical and empirical evidence (MNIST, CIFAR-{10,100}, and SVHN) that our approach has more efficient training and better classification results than data augmentation and active learning.",2019,37,62,9,False,Computer Science,143678789,Toan Tran,3354627.0,Thanh-Toan Do,145950884.0,I. Reid,145575177.0,G. Carneiro,Mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfdb5068507f64bf448857680fd6773ef08f0f21,https://www.semanticscholar.org/paper/dfdb5068507f64bf448857680fd6773ef08f0f21,Feature Learning for Activity Recognition in Ubiquitous Computing,"Feature extraction for activity recognition in context-aware ubiquitous computing applications is usually a heuristic process, informed by underlying domain knowledge. Relying on such explicit knowledge is problematic when aiming to generalize across different application domains. We investigate the potential of recent machine learning methods for discovering universal features for context-aware applications of activity recognition. We also describe an alternative data representation based on the empirical cumulative distribution function of the raw data, which effectively abstracts from absolute values. Experiments on accelerometer data from four publicly available activity recognition datasets demonstrate the significant potential of our approach to address both contemporary activity recognition tasks and next generation problems such as skill assessment and the detection of novel activities.",2011,21,322,19,False,Computer Science,2191750,T. Plötz,3128867.0,N. Hammerla,145171812.0,P. Olivier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b70bddfad1b0787be702b28125f929c7118d5513,https://www.semanticscholar.org/paper/b70bddfad1b0787be702b28125f929c7118d5513,Data Mining: Statistics and More?,"Abstract Data mining is a new discipline lying at the interface of statistics, database technology, pattern recognition, machine learning, and other areas. It is concerned with the secondary analysis of large databases in order to find previously unsuspected relationships which are of interest or value to the database owners. New problems arise, partly as a consequence of the sheer size of the data sets involved, and partly because of issues of pattern matching. However, since statistics provides the intellectual glue underlying the effort, it is important for statisticians to become involved. There are very real opportunities for statisticians to make significant contributions.",1998,23,380,19,False,Computer Science,1781982,D. Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25e44679b20098b14208c17cd0914edec7a8a1a7,https://www.semanticscholar.org/paper/25e44679b20098b14208c17cd0914edec7a8a1a7,"Stance Classification of Ideological Debates: Data, Models, Features, and Constraints","Determining the stance expressed in a post written for a two-sided debate in an online debate forum is a relatively new and challenging problem in opinion mining. We seek to gain a better understanding of how to improve machine learning approaches to stance classification of ideological debates, specifically by examining how the performance of a learning-based stance classification system varies with the amount and quality of the training data, the complexity of the underlying model, the richness of the feature set, as well as the application of extra-linguistic constraints.",2013,25,190,19,False,Computer Science,2064634,K. Hasan,145106110.0,Vincent Ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,https://www.semanticscholar.org/paper/bf3fd0a26f7d4c4037aa0fb7fa54e947f498bca6,Lowering the barrier to applying machine learning,"Machine learning algorithms are key components in many cutting edge applications of computation. However, the full potential of machine learning has not been realized because using machine learning is hard, even for otherwise tech-savvy developers. This is because developing with machine learning is different than normal programming. My thesis is that developers applying machine learning need new general-purpose tools that provide structure for common processes and common pipelines while remaining flexible to account for variability in problems. In this paper, I describe my efforts to understanding the difficulties that developers face when applying machine learning. I then describe Gestalt, a general-purpose integrated development environment designed the application of machine learning. Finally, I describe work on developing a pattern language for building machine learning systems and creating new techniques that help developers understand the interaction between their data and learning algorithms.",2010,122,29,3,True,Computer Science,39699737,Kayur Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63787b1fcf5add4b5e25376f7bee155a39e958c3,https://www.semanticscholar.org/paper/63787b1fcf5add4b5e25376f7bee155a39e958c3,A Survey of Multi-View Representation Learning,"Recently, multi-view representation learning has become a rapidly growing direction in machine learning and data mining areas. This paper introduces two categories for multi-view representation learning: multi-view representation alignment and multi-view representation fusion. Consequently, we first review the representative methods and theories of multi-view representation learning based on the perspective of alignment, such as correlation-based alignment. Representative examples are canonical correlation analysis (CCA) and its several extensions. Then, from the perspective of representation fusion, we investigate the advancement of multi-view representation learning that ranges from generative methods including multi-modal topic learning, multi-view sparse coding, and multi-view latent space Markov networks, to neural network-based methods including multi-modal autoencoders, multi-view convolutional neural networks, and multi-modal recurrent neural networks. Further, we also investigate several important applications of multi-view representation learning. Overall, this survey aims to provide an insightful overview of theoretical foundation and state-of-the-art developments in the field of multi-view representation learning and to help researchers find the most appropriate tools for particular applications.",2019,207,223,11,True,Mathematics,47001714,Yingming Li,2150427580.0,Ming Yang,2118748124.0,Zhongfei Zhang,,,Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17b07d8bb61a1462299053b66615f9eddd8f23d5,https://www.semanticscholar.org/paper/17b07d8bb61a1462299053b66615f9eddd8f23d5,Comprehensive Decision Tree Models in Bioinformatics,"Purpose Classification is an important and widely used machine learning technique in bioinformatics. Researchers and other end-users of machine learning software often prefer to work with comprehensible models where knowledge extraction and explanation of reasoning behind the classification model are possible. Methods This paper presents an extension to an existing machine learning environment and a study on visual tuning of decision tree classifiers. The motivation for this research comes from the need to build effective and easily interpretable decision tree models by so called one-button data mining approach where no parameter tuning is needed. To avoid bias in classification, no classification performance measure is used during the tuning of the model that is constrained exclusively by the dimensions of the produced decision tree. Results The proposed visual tuning of decision trees was evaluated on 40 datasets containing classical machine learning problems and 31 datasets from the field of bioinformatics. Although we did not expected significant differences in classification performance, the results demonstrate a significant increase of accuracy in less complex visually tuned decision trees. In contrast to classical machine learning benchmarking datasets, we observe higher accuracy gains in bioinformatics datasets. Additionally, a user study was carried out to confirm the assumption that the tree tuning times are significantly lower for the proposed method in comparison to manual tuning of the decision tree. Conclusions The empirical results demonstrate that by building simple models constrained by predefined visual boundaries, one not only achieves good comprehensibility, but also very good classification performance that does not differ from usually more complex models built using default settings of the classical decision tree algorithm. In addition, our study demonstrates the suitability of visually tuned decision trees for datasets with binary class attributes and a high number of possibly redundant attributes that are very common in bioinformatics.",2012,47,82,2,False,Biology,2971162,G. Štiglic,2592642.0,Simon Kocbek,1710947.0,Igor Pernek,1716474.0,P. Kokol,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226575b9b189989965d44538c70b710b526d818f,https://www.semanticscholar.org/paper/226575b9b189989965d44538c70b710b526d818f,A Deep Learning Scheme for Motor Imagery Classification based on Restricted Boltzmann Machines,"Motor imagery classification is an important topic in brain–computer interface (BCI) research that enables the recognition of a subject’s intension to, e.g., implement prosthesis control. The brain dynamics of motor imagery are usually measured by electroencephalography (EEG) as nonstationary time series of low signal-to-noise ratio. Although a variety of methods have been previously developed to learn EEG signal features, the deep learning idea has rarely been explored to generate new representation of EEG features and achieve further performance improvement for motor imagery classification. In this study, a novel deep learning scheme based on restricted Boltzmann machine (RBM) is proposed. Specifically, frequency domain representations of EEG signals obtained via fast Fourier transform (FFT) and wavelet package decomposition (WPD) are obtained to train three RBMs. These RBMs are then stacked up with an extra output layer to form a four-layer neural network, which is named the frequential deep belief network (FDBN). The output layer employs the softmax regression to accomplish the classification task. Also, the conjugate gradient method and backpropagation are used to fine tune the FDBN. Extensive and systematic experiments have been performed on public benchmark datasets, and the results show that the performance improvement of FDBN over other selected state-of-the-art methods is statistically significant. Also, several findings that may be of significant interest to the BCI community are presented in this article.",2017,43,273,13,False,Computer Science,145022789,N. Lu,2115646199.0,Tengfei Li,143679596.0,Xiaodong Ren,47355902.0,Hongyu Miao,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
