paperId,url,title,abstract,year,referenceCount,citationCount,influentialCitationCount,isOpenAccess,fieldsOfStudy/0,fieldsOfStudy/1,authors/0/authorId,authors/0/name,authors/1/authorId,authors/1/name,authors/2/authorId,authors/2/name,authors/3/authorId,authors/3/name,authors/4/authorId,authors/4/name,authors/5/authorId,authors/5/name,authors/6/authorId,authors/6/name,authors/7/authorId,authors/7/name,authors/8/authorId,authors/8/name,authors/9/authorId,authors/9/name,authors/10/authorId,authors/10/name,authors/11/authorId,authors/11/name,authors/12/authorId,authors/12/name,authors/13/authorId,authors/13/name,authors/14/authorId,authors/14/name,authors/15/authorId,authors/15/name,authors/16/authorId,authors/16/name,authors/17/authorId,authors/17/name,authors/18/authorId,authors/18/name,authors/19/authorId,authors/19/name,authors/20/authorId,authors/20/name,authors/21/authorId,authors/21/name,authors/22/authorId,authors/22/name,fieldsOfStudy/2
f58e403e8eaa8ffebf6b691a59f1dee434cb2262,https://www.semanticscholar.org/paper/f58e403e8eaa8ffebf6b691a59f1dee434cb2262,Extensions of the Informative Vector Machine,,2004,29,57,8,false,Computer Science,Mathematics,145306271,Neil D. Lawrence,144189092,John C. Platt,1694621,Michael I. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2145add1318af0654a4901fe92080bc8168a9f4,https://www.semanticscholar.org/paper/e2145add1318af0654a4901fe92080bc8168a9f4,Classification of musical genre: a machine learning approach,"In this paper, we investigate the impact of machine learning algorithms in the development of automatic music classification models aiming to capture genres distinctions. The study of genres as bodies of musical items aggregated according to subjective and local criteria requires corresponding inductive models of such a notion. This process can be thus modeled as an example-driven learning task. We investigated the impact of different musical features on the inductive accuracy by first creating a medium-sized collection of examples for widely recognized genres and then evaluating the performances of different learning algorithms. In this work, features are derived from the MIDI transcriptions of the song collection.",2004,15,82,7,false,Computer Science,,144654543,Roberto Basili,28868488,Alfredo Serafini,1763333,A. Stellato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e837b79de602c69395498c1fbbe39bbb4e6f75ad,https://www.semanticscholar.org/paper/e837b79de602c69395498c1fbbe39bbb4e6f75ad,Learning to Transduce with Unbounded Memory,"Recently, strong results have been demonstrated by Deep Recurrent Neural Networks on natural language transduction problems. In this paper we explore the representational power of these models using synthetic grammars designed to exhibit phenomena similar to those found in real transduction problems such as machine translation. These experiments lead us to propose new memory-based recurrent networks that implement continuously differentiable analogues of traditional data structures such as Stacks, Queues, and DeQues. We show that these architectures exhibit superior generalisation performance to Deep RNNs and are often able to learn the underlying generating algorithms in our transduction experiments.",2015,22,270,22,false,Computer Science,,1864353,Edward Grefenstette,2910877,K. Hermann,2573615,Mustafa Suleyman,1685771,P. Blunsom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5491cc42ec80a59e843790393e2b6117efd78a1,https://www.semanticscholar.org/paper/c5491cc42ec80a59e843790393e2b6117efd78a1,Feature Subset Selection: A Correlation Based Filter Approach,"Recent work has shown that feature subset selection can have a positive affect on the performance of machine learning algorithms. Some algorithms can be slowed or their performance irrelevant or redundant to the learning task. Feature subset selection, then, is a method for enhancing the performance of learning algorithms, reducing the hypothesis search space, and, in some cases, reducing the storage requirement. This paper describes a feature subset selector that uses a correlation based evaluates its effectiveness with three common ML algorithms: a decision tree inducer (C4.5), a naive Bayes classifier, and an instance based learner (IB1). Experiments using a number of standard data sets drawn from real and artificial domains are presented. Feature subset selection gave significant improvement for all three algorithms; C4.5 generated smaller decision trees.",1997,6,303,34,false,Computer Science,,118860642,M. Hall,2107559941,L. A. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff304304fddfb4de368b45894c20f44fdab817d5,https://www.semanticscholar.org/paper/ff304304fddfb4de368b45894c20f44fdab817d5,Evaluating machine learning for information extraction,"Comparative evaluation of Machine Learning (ML) systems used for Information Extraction (IE) has suffered from various inconsistencies in experimental procedures. This paper reports on the results of the Pascal Challenge on Evaluating Machine Learning for Information Extraction, which provides a standardised corpus, set of tasks, and evaluation methodology. The challenge is described and the systems submitted by the ten participants are briefly introduced and their performance is analysed.",2005,6,64,3,false,Computer Science,,2668441,N. Ireson,1758555,F. Ciravegna,1967815,Mary Elaine Califf,1758106,D. Freitag,8551365,N. Kushmerick,2192424,A. Lavelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b44ed0ea3163f9c3f6930b71f5390177584edcf,https://www.semanticscholar.org/paper/6b44ed0ea3163f9c3f6930b71f5390177584edcf,An Overview on Application of Machine Learning Techniques in Optical Networks,"Today’s telecommunication networks have become sources of enormous amounts of widely heterogeneous data. This information can be retrieved from network traffic traces, network alarms, signal quality indicators, users’ behavioral data, etc. Advanced mathematical tools are required to extract meaningful information from these data and take decisions pertaining to the proper functioning of the networks from the network-generated data. Among these mathematical tools, machine learning (ML) is regarded as one of the most promising methodological approaches to perform network-data analysis and enable automated network self-configuration and fault management. The adoption of ML techniques in the field of optical communication networks is motivated by the unprecedented growth of network complexity faced by optical networks in the last few years. Such complexity increase is due to the introduction of a huge number of adjustable and interdependent system parameters (e.g., routing configurations, modulation format, symbol rate, coding schemes, etc.) that are enabled by the usage of coherent transmission/reception technologies, advanced digital signal processing, and compensation of nonlinear effects in optical fiber propagation. In this paper we provide an overview of the application of ML to optical communications and networking. We classify and survey relevant literature dealing with the topic, and we also provide an introductory tutorial on ML for researchers and practitioners interested in this field. Although a good number of research papers have recently appeared, the application of ML to optical networks is still in its infancy: to stimulate further work in this area, we conclude this paper proposing new possible research directions.",2018,127,317,12,true,Computer Science,Mathematics,48419853,F. Musumeci,2370043,C. Rottondi,2499946,A. Nag,2129842,I. Macaluso,2735803,D. Zibar,2987837,M. Ruffini,1759410,M. Tornatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dc871b80e50135c9d99de9f8eb8c64b63ee924f,https://www.semanticscholar.org/paper/8dc871b80e50135c9d99de9f8eb8c64b63ee924f,Understanding Self-Training for Gradual Domain Adaptation,"Machine learning systems must adapt to data distributions that evolve over time, in applications ranging from sensor networks and self-driving car perception modules to brain-machine interfaces. We consider gradual domain adaptation, where the goal is to adapt an initial classifier trained on a source domain given only unlabeled data that shifts gradually in distribution towards a target domain. We prove the first non-vacuous upper bound on the error of self-training with gradual shifts, under settings where directly adapting to the target domain can result in unbounded error. The theoretical analysis leads to algorithmic insights, highlighting that regularization and label sharpening are essential even when we have infinite data, and suggesting that self-training works particularly well for shifts with small Wasserstein-infinity distance. Leveraging the gradual shift structure leads to higher accuracies on a rotating MNIST dataset and a realistic Portraits dataset.",2020,50,98,23,false,Computer Science,Mathematics,32423266,Ananya Kumar,1901958,Tengyu Ma,145419642,Percy Liang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c63fc87400a4d3afea63ab8a068a47249f815c2,https://www.semanticscholar.org/paper/5c63fc87400a4d3afea63ab8a068a47249f815c2,Noise or Signal: The Role of Image Backgrounds in Object Recognition,"We assess the tendency of state-of-the-art object recognition models to depend on signals from image backgrounds. We create a toolkit for disentangling foreground and background signal on ImageNet images, and find that (a) models can achieve non-trivial accuracy by relying on the background alone, (b) models often misclassify images even in the presence of correctly classified foregrounds--up to 87.5% of the time with adversarially chosen backgrounds, and (c) more accurate models tend to depend on backgrounds less. Our analysis of backgrounds brings us closer to understanding which correlations machine learning models use, and how they determine models' out of distribution performance.",2020,28,155,31,false,Computer Science,,2066515966,Kai Y. Xiao,39468283,Logan Engstrom,34562927,Andrew Ilyas,143826246,A. Madry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d44efe577671bde0fd09105d9b1e2fdca047da94,https://www.semanticscholar.org/paper/d44efe577671bde0fd09105d9b1e2fdca047da94,Prediction of cryptocurrency returns using machine learning,,2020,67,58,0,true,Computer Science,,121374362,Erdinç Akyıldırım,2580138,Ahmet Göncü,51056368,A. Sensoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a09f13a31ff1f9f7fe06ac37b2ebddb5e6630995,https://www.semanticscholar.org/paper/a09f13a31ff1f9f7fe06ac37b2ebddb5e6630995,Predicting Multiprocessor Memory Access Patterns with Learning Models,"Machine learning techniques are applicable to computer system optimization. We show that shared memory multiprocessors can successfully utilize machine learning algorithms for memory access pattern prediction. In particular three different on-line machine learning prediction techniques were tested to learn and predict repetitive memory access patterns for three typical parallel processing applications, the 2-D relaxation algorithm, matrix multiply and Fast Fourier Transform on a shared memory multiprocessor. The predictions were then used by a routing control algorithm to reduce control latency in the interconnection network by configuring the interconnection network to provide needed memory access paths before they were requested. Three trainable prediction techniques were used and tested: 1). a Markov predictor, 2). a linear predictor and 3). a time delay neural network (TDNN) predictor. Different predictors performed best on different applications, but the TDNN produced uniformly good results.",1997,21,35,1,false,Computer Science,,145470743,M. Sakr,1687100,S. Levitan,1757442,D. M. Chiarulli,35216199,B. Horne,145157784,C. Lee Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
